yards,success,week
28,1,1
54,1,1
30,1,1
37,1,1
33,1,1
40,1,1
26,1,1
34,1,1
43,1,1
30,1,1
50,1,1
43,1,1
49,1,1
42,1,1
42,1,1
51,0,1
34,1,1
43,1,1
21,1,1
38,1,1
36,0,1
35,1,1
39,1,1
47,1,1
29,1,1
52,1,1
35,1,1
38,1,1
36,1,1
39,1,1
45,1,1
36,1,1
42,1,1
39,0,1
56,0,1
38,1,1
54,1,1
45,1,1
24,1,1
55,0,1
24,1,1
23,1,1
50,1,1
41,1,1
45,1,1
25,1,1
32,1,1
56,1,1
48,1,1
51,1,1
41,1,1
32,1,1
40,1,1
36,1,1
25,1,1
57,1,1
50,1,1
26,1,1
27,1,1
33,1,1
31,1,1
52,1,1
45,1,1
29,1,1
59,0,2
44,1,2
27,1,2
40,1,2
26,1,2
52,1,2
25,1,2
43,1,2
43,0,2
52,1,2
55,1,2
50,1,2
24,1,2
33,1,2
33,1,2
39,1,2
25,1,2
29,1,2
42,1,2
36,1,2
51,0,2
32,1,2
49,1,2
22,1,2
38,1,2
27,1,2
30,1,2
33,1,2
33,1,2
41,1,2
47,1,2
29,1,2
23,1,2
49,1,2
55,0,2
24,1,2
55,0,2
61,1,2
52,1,2
28,1,2
23,1,2
54,1,2
36,1,2
55,0,2
37,1,2
44,1,2
34,1,2
35,1,2
34,1,2
21,1,2
55,1,2
26,1,2
30,1,2
45,0,2
56,0,2
25,1,2
38,1,2
43,1,2
27,1,2
57,1,2
48,1,2
26,1,2
38,1,2
49,0,2
44,1,2
49,1,2
59,0,2
31,1,2
32,1,2
37,1,3
48,1,3
24,1,3
47,0,3
24,1,3
36,1,3
54,1,3
32,1,3
51,1,3
47,1,3
43,1,3
35,1,3
33,1,3
44,1,3
37,1,3
39,1,3
55,0,3
41,1,3
38,1,3
21,1,3
39,1,3
49,1,3
43,1,3
62,1,3
27,1,3
26,1,3
31,1,3
25,1,3
48,0,3
28,1,3
33,1,3
26,1,3
33,1,3
31,1,3
54,1,3
53,1,3
50,1,3
53,1,3
61,0,3
53,1,3
23,1,3
53,0,3
56,0,3
30,1,3
49,1,3
23,1,3
53,1,3
42,1,3
48,1,3
54,1,3
48,1,3
48,0,3
52,1,3
57,0,3
51,1,3
25,1,3
38,1,3
46,0,3
28,1,3
44,1,3
57,1,3
21,1,3
36,1,3
36,1,3
33,1,3
38,1,3
26,1,3
43,1,3
42,1,3
57,1,3
26,1,3
48,1,3
44,1,3
52,1,3
38,1,4
56,1,4
43,1,4
38,1,4
53,1,4
21,1,4
53,1,4
35,1,4
51,1,4
34,1,4
33,1,4
37,1,4
50,1,4
37,1,4
31,1,4
37,1,4
52,0,4
26,1,4
40,1,4
54,1,4
47,0,4
46,0,4
51,1,4
48,0,4
33,1,4
22,1,4
53,1,4
33,1,4
26,1,4
56,1,4
23,1,4
29,1,4
23,1,4
33,1,4
52,0,4
36,1,4
38,1,4
39,1,4
35,1,4
23,1,4
55,1,4
53,0,4
34,1,4
37,1,4
32,1,4
51,1,4
44,1,4
28,1,4
27,1,4
41,1,4
47,1,4
36,1,4
54,1,4
23,1,5
43,1,5
25,1,5
42,1,5
33,1,5
22,1,5
51,1,5
36,1,5
32,1,5
43,1,5
46,0,5
37,1,5
40,1,5
40,1,5
50,1,5
37,1,5
26,1,5
22,1,5
52,0,5
38,1,5
43,1,5
28,1,5
42,1,5
33,1,5
37,1,5
44,1,5
40,1,5
38,1,5
29,1,5
40,1,5
48,0,5
54,1,5
53,1,5
55,0,5
49,1,5
40,1,5
37,1,5
51,1,5
30,1,5
23,1,5
26,1,5
22,1,5
27,1,5
22,1,5
49,1,5
34,1,5
26,1,5
26,1,5
27,1,5
43,1,5
53,1,5
34,1,5
35,1,5
28,1,5
55,1,6
29,1,6
