County_Region,Municipality,muni_ascii,n_parcels,total_area_ha,mean_parcel_ha,median_parcel_ha,pct_arable,pct_orchard,pct_olive,pct_vineyard,pct_meadow,culture_site,Average_size,has_washing_machine,has_internet,has_computer,has_car,Illiterarcy_rate,primary_lower_secondary,upper_secondary,university,population,general_revenue_per_person
Berat,Kuçovë,kucove,252,84.88930000000006,0.33686230158730157,0.18,72.22222222222221,0.7936507936507936,26.984126984126984,0,0,no_site,3.8,95.5,74.4,14.8,37.4,2.9,49.1,36.2,13.9,31077,17132
Berat,Berat,berat,871,931.9367000000002,1.0699617680826639,0.215,35.47646383467279,9.644087256027554,28.93226176808266,25.602755453501725,0,has_site,3.8,96.3,71.4,21.4,36.9,2.7,52.1,33.9,13.2,62232,16889
Berat,Poliçan,polican,249,347.5231,1.3956751004016064,0.45,53.41365461847389,28.514056224899598,6.024096385542169,12.048192771084338,0,no_site,3.7,95.5,52.8,10.5,26.3,4.8,56.5,31.9,10.8,8762,98395
Berat,Skrapar,skrapar,109,177.8363999999999,1.631526605504587,0.5675,78.89908256880734,19.26605504587156,1.834862385321101,0,0,no_site,3.7,94.5,27.7,12.3,25.9,2.4,52.8,33.4,13.2,10750,32924
Diber,Dibër,diber,199,2108.9999999999995,10.597989949748742,5,19.09547738693467,79.39698492462311,0,0,0,no_site,4.9,95.7,85.1,17.4,39.2,2.7,56.8,29.1,13.6,50775,18535
Diber,Mat,mat,287,931.8,3.246689895470383,2.3,77.70034843205575,16.02787456445993,0,6.2717770034843205,0,no_site,3.1,90.9,67.5,18.6,30,3,49.7,36.3,13.1,17405,29284
Durres,Krujë,kruje,64,238.14000000000001,3.7209375000000002,1.65,40.625,20.3125,31.25,0,0,has_site,3.7,95,65.3,18.2,54.9,3.2,54.1,33.4,11.8,51191,17127
Elbasan,Belsh,belsh,224,840.4000000000004,3.751785714285714,1.6400000000000001,94.19642857142857,0,0.4464285714285714,5.357142857142857,0,no_site,3.8,94.1,84.6,9.5,31.8,3,61.1,28.5,9.6,17123,17183
Elbasan,Cërrik,cerrik,330,443.40150000000034,1.343640909090909,0.3,87.27272727272727,6.363636363636363,0.30303030303030304,5.757575757575758,0,no_site,3.9,93.9,80.5,11.2,33.3,2.9,57.3,30.9,11,25163,17277
Elbasan,Elbasan,elbasan,128,214.91270000000003,1.67900546875,0.765,54.6875,30.46875,4.6875,9.375,0,no_site,3.1,95.9,77.1,25.1,38.7,2.6,48,32.6,18.6,115614,19986
Elbasan,Gramsh,gramsh,376,352.39519999999965,0.9372212765957446,0.3,75.2659574468085,19.9468085106383,2.127659574468085,2.6595744680851063,0,no_site,3.1,91.7,45.5,14.7,24.2,4.3,53.6,31.4,14.2,16553,33494
Elbasan,Librazhd,librazhd,107,111.03000000000003,1.037663551401869,0.62,64.48598130841121,28.037383177570092,0,7.476635514018691,0,no_site,3.4,93.2,70.6,14.9,28.8,3.6,55.3,29.5,14,23312,28818
Elbasan,Peqin,peqin,33,215.29500000000004,6.524090909090909,1.15,39.39393939393939,0,21.21212121212121,24.242424242424242,0,no_site,3.1,93.4,83.2,12.7,38.5,3.1,61.1,26.3,11.6,16580,21378
Fier,Fier,fier,76,557.8799999999997,7.340526315789473,7.375,73.68421052631578,2.631578947368421,1.3157894736842104,21.052631578947366,0,has_site,2.9,95.9,73.5,19.6,43.5,2.5,49.1,35.5,14.7,101963,18633
Fier,Lushnje,lushnje,3,3.35,1.1166666666666667,1.08,100,0,0,0,0,no_site,2.9,96.5,79.6,20,40.8,2.7,52,34.2,12.9,63135,19800
Gjirokast,Gjirokastër,gjirokaster,10,71.3,7.13,6.1850000000000005,0,100,0,0,0,has_site,2.9,97.3,67.7,23.7,48.7,2.1,38,36.1,25.4,23270,30740
Gjirokaster,Gjirokastër,gjirokaster,25,138.68,5.5472,3.7,100,0,0,0,0,has_site,2.9,97.3,67.7,23.7,48.7,2.1,38,36.1,25.4,23270,30740
Gjirokaster,Përmet,permet,1183,369.0446999999998,0.3119566356720203,0.0751,39.81403212172443,37.700760777683854,5.4945054945054945,16.821639898562974,0,no_site,2.5,95.7,55.2,16.2,31.5,2,47.2,36.6,15.2,7980,39313
Gjirokaster,Tepelenë,tepelene,34,34.959999999999994,1.0282352941176471,0.45,23.52941176470588,17.647058823529413,32.35294117647059,26.47058823529412,0,no_site,2.7,95.4,51.3,14.1,31.3,2.6,49.1,32.8,17.2,6761,36932
