gov_entity,population,general_revenue_per_person,average_revenue_per_person
Dimal,28135,14856,28307
Pogradec,46070,15146,28307
Prrenjas,18768,15466,28307
Kurbin,34405,16134,28307
Berat,62232,16889,28307
Krujë,51191,17127,28307
Kuçovë,31077,17132,28307
Belsh,17123,17183,28307
Cërrik,25163,17277,28307
Devoll,25897,18446,28307
Dibër,50775,18535,28307
Fier,101963,18633,28307
Lushnjë,63135,19800,28307
Elbasan,115614,19986,28307
Roskovec,16332,20801,28307
Shkodër,102434,20845,28307
Bulqizë,26826,21076,28307
Peqin,16580,21378,28307
Divjakë,24882,21611,28307
Shijak,22058,21801,28307
Kukës,36125,22364,28307
Durrës,153614,22482,28307
Maliq,31008,22629,28307
Patos,18227,23122,28307
Lezhë,51354,23930,28307
Klos,12172,24031,28307
Vlorë,83683,25538,28307
Finiq,11413,26085,28307
Dropull,8259,26204,28307
Vau i Dejës,19261,26292,28307
Korçë,60754,26377,28307
Has,11684,27036,28307
Kamëz,96137,28583,28307
Librazhd,23312,28818,28307
Malësi e Madhe,21684,29146,28307
Mat,17405,29284,28307
Delvinë,6166,29672,28307
Tropojë,14189,30282,28307
Gjirokastër,23270,30740,28307
Vorë,21261,31191,28307
Mallakastër,15838,32500,28307
Skrapar,10750,32924,28307
Gramsh,16553,33494,28307
Konispol,4898,33676,28307
Mirditë,13625,35660,28307
Këlcyrë,4400,36423,28307
Tepelenë,6761,36932,28307
Memaliaj,6578,37041,28307
Libohovë,2765,37915,28307
Rrogozhinë,12567,38599,28307
Përmet,7980,39313,28307
Tiranë,598176,40107,28307
Selenicë,9580,41454,28307
Kavajë,30012,41499,28307
Kolonjë,7519,45680,28307
Pukë,6222,46336,28307
Sarandë,22613,48181,28307
Fushë-Arrëz,4878,48348,28307
Pustec,1843,53869,28307
Poliçan,8762,98395,28307
Himarë,8328,100942,28307
